Term DocID TF Positions
controversi 4 1 7512
conven 4 1 45955
conveni 4 10 16365,16379,17412,17515,17702,19254,27469,27552,44090,44167
convert 2 1 115
convert 3 2 197,961
cooper 2 1 43
cooper 4 2 5338,5356
coordin 1 3 1262,1279,1301
coordin 4 14 1090,1093,4679,7294,28359,34023,34462,34978,35083,35796,45939,46018,46073,46764
cope 4 3 19204,19282,19319
copernicus 3 2 2083,2156
copi 4 1 35606
corbin 4 2 37668,46860
cord 4 6 5781,5865,5885,5931,5959,6009
core 4 10 16611,16637,16656,16674,20276,28320,34341,34395,34418,34449
corner 4 6 12822,45168,45218,45234,45304,45355
coronari 1 15 109,137,142,404,463,501,506,555,567,773,777,783,791,934,1243
coronari 3 2 634,754
coronari 4 1 26359
corpor 4 3 671,21953,21968
corrado 4 1 31761
correct 4 5 4651,4784,20203,27769,48931
correl 3 1 29
correl 4 17 13775,14761,16862,16881,16896,19276,19307,21511,21972,22608,22809,24757,24891,24906,36296,47576,48490
correspond 4 1 49244
corridor 4 1 30867
cortisol 4 5 20910,20994,21016,21093,21112
cosmopolitan 4 1 5824
cost 4 20 4183,9660,20255,23063,23171,26105,26131,26211,35972,37472,39063,41434,43324,44377,44985,45043,45203,45271,45339,45417
council 4 3 4143,34942,42762
counsel 2 1 128
counsel 4 15 657,4732,4747,4902,7161,18819,20062,21660,22743,29252,30096,34595,38374,43326,43382
counselor 4 4 29232,34576,34600,34655
count 4 6 8040,14675,15759,15815,39134,45586
counter 4 3 1834,37791,37804
counterpart 4 1 32311
counti 4 13 4588,4604,4671,15970,16080,16132,19619,28330,28342,31847,35357,46854,46953
countri 1 1 1094
countri 4 42 2515,2595,2972,4004,5846,7076,7571,7624,15141,15170,16760,21217,21282,21313,21327,23187,25479,25490,25658,25677,32916,34031,35672,36220,36482,36595,36603,36655,36673,36705,37636,37832,38137,38304,41200,42592,43481,43540,43618,43645,43655,46024
coupl 4 5 1624,4222,12544,13572,19432
cours 1 2 169,685
cours 4 7 21262,22248,26262,26342,42366,43864,46231
court 4 5 150,3054,3099,7049,9557
covari 4 6 14956,19027,20579,24643,36632,47589
coven 4 1 33846
cover 4 5 4232,13531,25650,30364,31698
coverag 4 3 703,26306,46886
cox 2 1 80
cox 4 2 24215,48576
cp 1 1 1268
cpnp 4 1 10291
cr 3 13 6,171,371,383,406,478,1194,1370,1416,1441,1549,1602,2685
crack 4 4 18309,38908,41976,42120
crafft 4 1 30182
creat 4 28 1416,1917,4768,5569,5947,6500,7690,8813,13381,13661,14332,19750,21025,21047,27862,31328,33524,33754,34567,34706,35119,42654,42726,42880,43008,43050,45026,46904
creation 4 1 35057
creativ 4 4 7648,31444,35577,35662
creator 4 1 16721
credibl 4 1 28611
credit 4 1 6649
creosot 4 2 24242,24350
crilli 4 1 9442
crime 4 35 7104,7925,7986,8035,8039,8068,8077,8101,8107,10130,10144,10405,13578,13742,13909,14351,14534,14538,14602,14617,14622,14625,14637,14641,14679,14696,14728,14768,14778,14791,14795,16840,17229,24337,31875
crimin 4 1 9555
crisi 4 5 4906,6907,13261,34967,44803
crisostomo 4 1 11134
criteria 3 1 1273
criteria 4 6 26291,30640,32977,33310,39707,40337
critic 3 1 2296
critic 4 18 1508,2670,9633,9649,10585,11184,11204,13335,28648,31636,38763,39496,43678,43783,43810,46371,46555,47650
cross 4 16 5901,7977,8166,10163,10636,15941,16208,17008,19219,20998,23273,28757,29735,41905,47700,47993
crossov 3 1 2430
crow 4 1 27878
crowd 4 1 46444
crucial 4 2 31613,46405
cruickshank 3 1 311
crystal 4 1 15349
csap 4 2 41305,41311
csat 4 1 28204
cse 4 3 2758,2774,2861
ct 4 1 25894
cuet 4 1 44788
culmin 4 1 31333
cultiv 4 2 20797,28085
cultur 4 37 605,988,4861,5850,7114,18730,18865,20285,20362,20875,26810,26824,26827,26838,26844,26882,26883,32718,34434,34467,36897,36948,37614,37830,37974,40428,40433,43668,43997,44064,44144,44651,44733,44945,49332,49369,49629
cumul 3 1 2080
cumul 4 1 31510
cunniff 4 1 41078
curbow 4 1 32079
cure 4 3 22301,22451,22547
current 4 22 1505,3838,4640,4774,10174,15869,16026,16089,16143,21629,22799,22851,27632,27956,28166,30956,32185,36353,37524,39446,40913,41618
curriculum 4 11 9321,29627,33583,34811,35332,35413,42252,42295,42308,42333,42464
curv 4 1 48571
cusimano 4 1 47087
custodi 4 2 2766,7099
custom 4 1 9384
cut 4 1 28693
cutan 1 1 586
cvd 4 1 35267
cycl 4 1 20754
daili 3 8 1375,1788,1795,1879,1885,2314,2682,2742
daili 4 6 14429,16871,20371,27966,45585,45665
dairi 4 1 17392
daksha 4 1 28121
dale 4 2 29133,34485
dalla 4 2 19732,44225
damag 4 2 15808,36046
dana 4 4 4591,10557,11150,30315
danesh 4 1 27881
daniel 4 3 7748,42754,47639
daniell 4 5 885,11610,15342,18476,45055
dargi 3 2 991,1002
dario 4 1 46361
darryl 4 1 10048
data 1 4 1183,1215,1224,1302
data 2 1 40
data 3 4 2010,2023,2615,2748
data 4 135 1772,2068,2172,2592,3250,3732,3923,6671,8230,8234,8480,9108,9168,9567,9582,9805,10040,10189,10201,10403,10922,11485,11895,12003,12281,12309,12573,12586,12724,12768,12980,12996,13068,13111,14092,14130,14168,14281,14328,14893,15192,15682,15851,15858,15991,17166,17198,17425,17440,17927,18528,19051,19434,19602,19648,19696,19704,19717,20496,20706,23100,23278,23775,24596,24823,24834,27436,27486,28250,28370,28380,28382,28612,28728,29121,29158,29201,29216,29235,29261,29267,29304,29316,29458,30026,30209,30253,30258,30277,30284,31146,32129,32147,32262,32464,32900,32914,32961,33081,33945,34596,34871,35170,35753,36308,36875,37419,37658,38070,38108,39518,40011,40623,40733,40886,41591,41866,44378,44987,45583,45605,45646,46955,47232,47303,47428,47513,47675,47707,47728,48229,48513,49725,49746,49765
databas 4 5 2297,11680,28825,36540,47163
dataset 4 4 8273,10182,18103,29044
date 4 17 1112,1167,1179,1209,1240,1294,1322,1946,7393,27444,29537,30735,35571,35643,42248,46266,47191
daughter 1 2 69,379
davi 4 2 7946,47357
david 4 10 11608,15358,16209,18484,20428,20433,28753,38723,38726,45068
davison 4 2 33993,35714
dawodu 4 1 47648
day 1 6 173,616,642,823,851,869
day 3 2 1413,1575
day 4 22 1756,3760,9882,16057,21075,21238,24777,24860,24899,27535,27538,31584,31586,45561,45618,45682,45688,45713,45716,45721,45746,45788
dc 1 1 1245
dc 4 16 23739,37323,37376,37399,37427,37923,40792,49531,49559,49591,49639,49692,49711,49805,49812,49822
de 3 1 2783
de 4 5 881,2138,2143,17819,25573
deacon 3 1 2605
deal 4 2 13864,18334
dearth 4 1 46906
death 3 8 985,1052,1497,1510,1894,1897,2250,2268
death 4 10 7791,7821,7841,7908,15137,21236,24105,24110,45794,49249
debat 4 1 49024
debbi 4 1 22640
debilit 4 1 41584
debora 1 1 1340
deborah 4 1 41306
dec 4 1 6689
decad 4 4 1631,15090,34278,37940
decemb 4 4 3266,13001,22021,28337
decid 3 1 2619
decipher 4 1 27848
decis 4 15 7433,9178,29821,29904,30003,33869,35176,42063,42679,43692,43795,44003,44202,44245,44389
declar 1 1 1171
declin 4 16 19109,20409,20477,20547,20604,20633,24398,35272,36235,36755,37002,48958,49152,49184,49223,49235
decreas 3 2 841,1174
decreas 4 13 9505,9597,10223,20490,25965,26438,27267,27474,27482,31050,31723,35270,49655
decrement 4 1 14409
dedic 4 3 27923,28697,42672
deedwania 3 3 1637,2100,2255
deena 4 1 259
deep 4 1 35843
deeper 4 2 6447,12851
default 4 3 22303,22501,22566
defec 4 1 24921
defect 4 6 24477,24516,24557,24587,24591,24626
defens 4 1 37802
deficit 4 1 6987
defin 3 1 1320
defin 4 16 3901,4090,8128,8224,8287,8342,10391,12733,16320,17123,20719,20729,20865,20886,38805,45102
definit 4 5 15850,16293,17085,20890,24680
degrad 4 1 20140
degre 3 1 2382
degre 4 12 2865,2878,10482,12956,21893,26500,26560,35946,36109,36628,45680,48337
deirdr 4 1 6101
deiss 4 1 21562
del 4 1 37908
delay 4 4 418,449,14478,49587
delhi 4 2 1594,1677
deliber 4 1 44367
delimit 4 2 26654,36956
delin 4 2 20271,34073
delinqu 4 2 98,2862
deliv 4 16 14314,14967,15006,19951,27409,27452,27517,27560,30212,37171,39459,41370,43136,43234,43243,43316
deliveri 4 22 303,419,3755,3762,7334,14735,14921,14964,17847,19889,19977,21160,21498,29365,29446,31500,40373,40407,42337,43341,43361,43377
demand 3 1 815
demand 4 9 849,1635,20388,20829,30800,30903,42847,42981,42990
demograph 2 3 231,287,356
demograph 4 35 1298,1618,2257,2429,2588,8240,9068,10355,10916,12363,12891,13489,15195,19029,19408,19484,23228,23263,23928,29221,29691,32145,32863,32895,32954,33078,33093,37945,38770,39131,40244,42232,42428,47559,47617
demonstr 1 3 146,526,787
demonstr 2 1 403
demonstr 3 1 2595
demonstr 4 23 6091,6129,6235,7818,7958,18889,20298,24311,25458,28437,28624,29160,29586,30268,33712,36737,37515,39962,40614,42852,47392,48672,48923
dena 4 1 30979
dengu 4 1 38278
deni 4 2 4501,19525
denial 4 1 47777
dens 4 1 12898
densiti 4 7 9478,10252,12818,12905,16831,16832,47240
dental 4 14 37547,37585,37605,37609,37620,37698,37728,37742,37779,37810,37828,37846,37851,37857
dentist 4 1 37751
depart 1 2 58,368
depart 3 1 1529
depart 4 40 4122,4760,4765,5608,5790,5800,7027,7573,8046,12705,12859,15621,15632,17246,17323,17835,21270,23702,23732,23992,24015,24840,29143,30067,32612,37032,38042,38145,38156,38167,38180,38332,39335,40776,40795,41965,43721,45591,46944,49712
departmen 4 1 23723
department 4 1 4681
departur 4 1 38223
depaul 4 2 36731,44469
depend 3 1 648
depend 4 10 14936,36443,39110,39156,39190,39237,39282,40224,40278,40354
depict 4 1 35602
depress 1 3 97,441,737
depress 4 41 391,10273,10326,10344,10352,10464,10474,10489,10499,10764,11589,11705,11717,11723,11795,13642,18985,19003,19011,19059,19084,22852,36336,36338,36387,36440,40883,40973,48148,48168,48192,48201,48260,48323,48328,48339,48397,48407,48427,48438,48445
depriv 4 19 12176,12235,12276,12328,12350,12376,12405,13513,17241,17284,36505,36583,36620,36635,41791,41828,41877,41912,41920
dept 4 1 45546
depth 4 5 4413,44084,44271,44526,44845
deputi 4 1 7537
deren 4 1 41564
deriv 3 1 2162
deriv 4 5 7687,13503,16828,16846,37159
describ 4 23 2092,8274,9621,12683,13488,18718,24370,25772,28269,32889,33931,34820,37165,38509,38673,42288,43459,43769,43847,44577,44612,44623,47120
descript 4 6 1231,2293,3726,29211,33088,34549
desert 4 1 16229
deserv 4 1 18975
design 4 38 1878,2811,2849,3125,3227,4399,4971,5400,5621,7179,9382,9654,10634,12711,12949,15400,15533,16649,16800,21490,21929,22920,23275,23764,23855,26816,27092,27503,31040,31916,31983,32439,35535,39415,41512,43891,46407,46739
desir 4 5 31124,37527,39993,44360,44425
desmet 1 1 1097
destin 4 1 38302
detail 1 1 763
detail 3 1 871
detail 4 5 8400,21474,24406,43854,46034
detain 4 1 7033
detect 1 1 790
detect 4 20 2287,2311,7729,7783,21295,21711,21941,21981,21992,22006,22068,22085,22108,22133,22166,22189,22191,22211,22237,49091
detent 4 3 7072,7086,7151
deterior 4 2 14355,18962
determin 4 42 1236,1487,2630,7774,8864,8881,10850,12219,12920,13087,13431,13469,15207,15385,17341,17805,19384,19498,19535,22693,23223,23258,26255,27840,30552,33880,33904,33983,34046,34060,35814,35877,36190,37429,37461,38317,38640,40139,47464,47961,48634,48693
determinant 4 1 42474
detroit 4 5 10938,10999,11112,17644,35352
develop 3 3 346,789,2529
develop 4 100 233,755,1013,1385,1426,1475,1514,1840,1982,2094,2514,2730,4661,5358,6338,7469,7901,8194,8371,8930,9030,9602,11302,12849,13181,15140,15169,15306,15594,16606,16759,17062,17164,18737,21178,21187,23286,23452,24005,24164,24342,24409,24448,24993,25133,25151,25478,25489,25736,26591,27915,28008,28271,28594,29193,29383,29442,30111,30270,30370,30424,31360,31400,33222,33312,33469,34014,34160,34373,34387,34430,34807,34857,34910,35051,35111,35788,37649,38352,38650,41326,41571,41583,42269,42309,42499,42666,42967,43558,44562,44566,45021,45396,45644,45858,46425,46459,46826,48452,49760
development 4 2 7115,34090
deviat 4 2 14398,43901
devic 4 2 8939,29298
devis 4 4 15573,19829,31543,44337
devot 4 1 27156
df 4 3 22468,22493,22519
dhaka 4 2 6575,6618
dhs 4 2 28723,48664
di 3 1 2459
diabet 2 16 11,38,75,78,150,163,167,168,214,217,259,342,344,378,419,427
diabet 3 35 14,105,141,486,493,586,619,625,666,680,698,732,763,769,808,878,1630,1662,1689,1946,1988,2033,2092,2123,2174,2180,2217,2237,2254,2271,2473,2508,2603,2661,2765
diabet 4 28 875,919,929,1083,8729,9395,16705,16754,16789,16799,16804,16867,16883,16913,16940,16966,17307,17368,34837,41551,41596,41697,41700,41707,41730,41749,41759,41772
diagnos 1 1 452
diagnos 4 4 4916,9083,20154,40647
diagnosi 1 1 693
diagnosi 3 1 943
diagnosi 4 10 4876,4961,11710,26323,26457,40340,41708,43827,49584,49667
diagnost 4 2 22173,49662
diagram 4 2 12097,12114
dialogu 4 1 28441
diarrhoea 4 2 24815,24893
diastol 1 1 798
diastol 3 3 668,739,780
dichloroisoproterenol 3 1 225
die 4 5 10117,10981,11654,15113,45568
diego 4 3 21571,44794,44842
diet 4 4 6864,16269,25963,30351
dietari 4 7 6788,17299,17353,17379,17385,17480,17527
differ 2 1 68
differ 3 4 1933,2205,2343,2414
differ 4 39 1107,1159,3421,3966,5989,6012,6077,10741,10751,11861,12058,12070,12132,12173,12273,12369,12388,12620,14418,15316,15818,16180,16325,17618,17747,18019,18069,18231,18419,23685,23755,23926,29010,29692,34521,39860,45335,47246,49094
differenti 4 9 10592,11964,15105,17798,23803,24174,33032,33335,49569
difficult 3 2 2347,2593
difficult 4 3 7973,27545,40672
difficulti 4 4 21099,30495,41122,46392
diffus 1 1 930
diffus 3 1 441
diffus 4 1 30379
digit 3 2 1338,1838
digit 4 4 26281,27406,27428,30303
digitali 3 1 207
digniti 4 1 19528
diliman 4 1 21181
diller 4 1 29637
diltiazem 1 2 581,706
dimaggio 4 1 46357
dimens 4 3 6493,19283,19320
diminish 3 1 2564
diminish 4 1 20248
dina 4 1 3582
diniz 4 2 2121,25557
dinushika 4 1 43709
diploma 4 1 45156
direct 3 1 686
direct 4 19 1346,4404,7960,9667,12385,14501,16895,17537,17670,21258,22244,24143,27856,28046,30905,35054,40512,42302,49351
director 4 2 46222,46238
directori 4 1 35155
dirt 4 1 1356
dirti 4 1 46471
disabl 4 3 5701,36016,46649
disadvantag 4 19 2937,2990,3035,3061,3079,3874,3913,3943,3992,4015,4037,4064,16231,29116,31067,36976,36983,45127,45383
disagre 4 1 48859
disappear 1 1 891
disappear 4 1 19077
disassoci 4 1 48948
disast 4 19 20146,24045,24088,35933,45516,45847,45863,45886,45898,45914,45942,45993,46038,46087,46172,46318,46573,46630,46830
discard 4 1 31721
discern 4 1 47018
discharg 1 1 699
discharg 2 4 113,119,130,241
discharg 4 1 28310
disciplinari 4 3 13121,13138,13175
disclaim 4 1 30722
discontinu 4 2 22984,43911
discord 4 5 5893,5953,5964,5983,5999
discourag 4 1 4210
discoveri 3 1 306
discrep 1 1 1033
discrep 4 1 17791
discrimin 4 1 4511
discuss 3 2 872,2278
discuss 4 44 704,1352,2018,2057,2933,7882,9918,10823,11291,11316,13060,15555,19859,20712,20786,21470,24694,25057,26462,26596,26650,26958,27952,28039,29482,32836,32841,34067,34846,34892,35516,35687,37082,37648,38117,40105,42084,42132,42402,42813,42826,44543,46035,48023
diseas 1 2 406,793
diseas 3 2 636,756
diseas 4 49 1066,3159,3894,4910,5715,5717,7767,8723,12225,20138,21145,23291,24028,24707,24741,24759,24801,24877,24911,24932,24951,26199,26258,26554,30529,30559,30746,33388,34176,34407,34436,35248,35266,35326,35418,35444,36845,37309,37350,37436,37484,37538,38032,38212,38252,38326,41988,42546,44978
disenfranchis 4 1 9508
disintegr 3 1 431
dismay 4 1 36042
disord 4 23 13229,14067,14070,14141,14181,14349,14510,18912,21059,39012,39036,39113,39160,39290,40145,40228,40262,40273,40288,40344,40348,48169,48211
dispar 4 47 924,3144,8206,9437,9495,9581,9599,10039,10542,11118,11160,11194,11222,11251,11276,11353,12894,16267,16973,18151,19579,19589,19665,24965,25005,25099,26857,32115,32297,32347,33907,34279,34300,34324,35245,35282,35466,36462,36519,36701,37073,43684,43761,43888,49579,49637,49820
dispatch 4 1 47195
dispers 4 1 30798
displac 4 1 30717
display 4 3 30587,30677,30706
disproportion 4 4 934,5696,19168,47386
disput 4 1 7544
dissemin 4 13 7658,8253,17119,26063,26128,26157,34314,34339,34432,34472,35010,35629,40490
distanc 4 12 4234,8407,8581,8624,8646,17684,24400,26557,27228,44316,44354,44421
distinguish 4 1 43598
distribut 1 1 1077
distribut 4 10 10236,17278,18064,18156,23300,25071,28082,38666,46698,47469
district 4 7 1717,3654,3945,11689,13036,13100,49522
disturb 4 1 36032
diuret 3 4 204,1325,1832,2704
divers 4 9 6789,6863,10665,28630,37175,41544,43671,44600,44606
diversifi 4 1 6839
divid 4 3 1712,10531,30304
divis 4 4 20714,30404,30807,38341
dl 4 1 18192
dlugokinski 4 1 4601
dmc 4 1 22233
dmcs 4 7 21932,21984,22010,22078,22103,22128,22168
dmti 4 1 17177
dnsc 4 1 32369
doctor 4 5 817,4117,9926,16857,30360
document 4 14 11156,12139,18509,28652,29690,35771,35785,36225,36512,40474,42704,44988,46673,47035
dode 4 1 25552
dogra 4 1 25192
doh 4 2 21273,21349
dollar 4 1 41416
domain 4 5 12101,20277,20724,20733,47411
domest 4 6 20717,20765,25218,25262,25390,25504
domin 4 2 18587,44178
dond 4 1 37325
donna 4 2 10876,14249
dorchest 4 1 15963
dos 4 1 2119
dosag 3 3 176,1367,1862
dose 3 7 1399,1874,2307,2400,2676,2722,2732
dose 4 1 27585
dot 4 28 13142,13179,21256,21497,22249,22284,22317,22323,22356,22368,22412,22415,22438,22447,22449,22464,22477,22489,22503,22515,22533,22544,22555,22562,22572,22577,22587,22591
doubl 3 2 1146,1397
doubl 4 2 28890,30793
doubleblind 3 1 1751
doubt 4 1 42433
dove 3 1 2779
downtown 4 2 18311,49320
dph 4 2 29183,34554
dr 4 12 16715,16727,21959,21962,33992,33995,33998,34001,35713,42748,42753,45850
draft 1 3 1199,1251,1307
draft 4 1 21361
drainag 4 1 33380
drama 4 1 11535
dramat 1 1 1029
dramat 4 2 18212,36234
draw 4 8 1910,3445,17630,24770,26971,35584,35605,48569
drew 4 2 6430,29680
dri 4 1 32927
drink 4 4 4046,23665,41113,41782
drinker 4 1 41342
drive 4 4 24959,31824,35469,37719
driven 4 8 13256,15494,18425,21638,23779,39674,40493,40870
driver 4 14 4422,23519,37231,37553,37579,37601,37632,37694,37725,37747,37776,37823,37841,37861
drop 4 2 27292,37986
dropper 4 1 7218
drph 4 9 7232,16509,32356,35495,43698,43708,43960,46114,46353
drug 3 5 380,393,445,1262,1614
drug 4 104 4011,4383,5206,5253,5313,8410,8463,8467,8472,8510,8531,8586,8629,8641,13733,13740,13863,13907,14475,14702,15371,15394,15408,15461,15549,15587,15635,15659,15764,18185,18222,18256,18333,18345,18427,18435,18790,20417,20611,21518,21613,21789,22625,22650,22720,27062,30016,30080,30124,30187,30353,38714,38771,38932,38974,38997,39109,39155,39189,39236,39241,39281,39567,39593,39612,39655,39826,39872,39892,40223,40277,40353,40879,40915,41163,41287,41334,41345,41382,41556,41576,41598,41636,41739,41973,42046,42078,42104,42117,42149,42165,43411,43436,43477,43503,43512,43532,43548,43572,43613,44796,44859,44974,48457
drugrel 4 1 44760
ds 4 1 20344
dsg 4 3 41315,41321,41325
dss 4 1 32913
dual 4 3 40261,40343,42539
dubay 4 1 32081
due 3 10 816,825,1232,1250,1531,1582,1668,1677,1996,2562
due 4 14 583,3216,6982,21462,24806,28509,36017,36033,36043,37766,44591,44649,44939,46163
dummi 4 1 5949
dunn 4 3 12195,12449,41802
dwell 4 1 23501
dweller 4 2 5690,43132
dyann 4 1 27871
dynam 4 3 986,22890,49450
dysfunct 1 5 119,297,473,936,940
dysfunct 3 5 519,669,740,781,824
dyslipidemia 1 1 399
dyspnea 1 2 35,274
dysregul 4 1 21120
dysthymia 4 1 39216
eap 4 1 46177
eapd 4 5 46223,46241,46253,46276,46304
earli 1 1 989
earli 3 3 341,1424,2567
earli 4 17 7525,20058,20074,26456,31605,31607,32013,37988,39084,39711,39890,41296,41392,41473,41518,41523,48212
earlier 1 2 72,382
earlier 4 5 6166,20793,31411,39719,48622
earn 4 3 31864,36036,36054
earthquak 4 3 35977,36006,36026
eas 4 1 44160
easi 4 1 26740
easier 4 1 368
easili 4 5 3206,30493,30543,37207,41532
east 4 3 27711,34006,35727
eastern 4 2 7009,34249
eastsid 4 1 18312
eat 4 2 16251,33528
ecg 4 1 26407
echo 1 1 1290
echocardiogram 1 8 115,178,469,662,746,867,1234,1239
ecolog 4 14 7768,12667,12854,16801,17157,25087,26790,26982,27399,27438,27459,27466,27589,27607
econom 4 37 1591,2527,7773,7788,7858,8238,12512,13031,13494,13541,14344,15210,15998,16188,16977,17048,17240,18963,19955,20470,24986,25009,25052,25165,31096,33031,33362,33901,33960,35876,36238,36917,44395,44605,46611,47561,49507
economi 4 2 36596,49440
economo 4 1 25947
ed 4 11 9449,12707,12783,12808,28090,45592,45654,45697,45770,46945,47002
edberg 4 2 2720,37894
edd 4 2 32600,43969
ediss 4 1 11137
editor 4 4 7532,7538,7560,7574
editori 4 2 7549,7562
edouard 4 1 48647
eduact 4 1 4825
eduardo 4 1 42483
educ 4 121 992,2276,2388,2463,2505,2610,2661,2668,3364,3389,3436,3484,3521,3551,4546,4560,4964,5389,5396,6215,9202,9235,9335,9352,9562,9742,9797,10002,10014,10034,10357,10477,10793,11278,11731,13553,14997,15052,16076,16128,16532,16575,17215,17928,17987,18006,18074,18105,18128,18785,18818,19379,19445,20308,23235,23346,23658,24642,25044,25163,27024,27082,27113,27135,27185,27368,27388,27733,27800,29098,29626,29788,29933,29981,30389,30760,31267,32551,32762,33366,33501,33522,34378,34413,34795,34829,34876,35233,35303,36049,36138,36143,36255,36299,36352,36413,37468,37563,37853,38348,38512,41277,41776,42424,42462,42885,43299,43332,43727,44032,44102,46060,46302,46400,46437,46552,47779,48418,48423,48437,48602
educacion 4 1 38084
edward 4 2 29636,30973
ef 1 2 494,677
effect 3 4 1029,1040,1758,2579
effect 4 91 1289,2607,2979,5004,5490,6134,7900,7922,9184,9999,10303,10575,10706,10819,11328,11404,11577,12239,12251,13416,13635,13930,14236,14387,14455,14599,14620,14789,14953,16158,17443,19055,19202,19377,19476,19540,20306,20568,21383,22242,22282,23064,23172,23225,23260,23334,24844,25583,25690,25723,25812,26349,26569,26830,27098,27376,27384,27593,28804,29162,29359,29432,30098,32558,32566,33036,34593,34883,35086,35094,35440,35804,36228,36617,37188,39964,41515,41768,44986,45418,45820,46068,46331,46374,46395,46497,46813,47374,47868,48728,49648
efficaci 3 2 1133,2014
efficaci 4 20 2877,3830,8499,11771,20244,22611,22687,22704,22746,22768,22779,22813,22865,22876,22896,26020,27017,34192,48803,48927
effici 4 7 1643,7301,26022,26134,29404,34700,46769
effort 4 18 3379,4520,4753,5647,10205,18744,20658,21320,25134,28110,28224,30796,33393,33451,33595,33896,35663,42579
egg 4 1 45290
ehealth 4 6 26792,26847,26871,26968,26984,26991
ehi 4 1 31771
ehr 4 5 7291,7388,7414,7430,7457
eichel 4 1 883
eighti 4 3 13035,40253,44909
eject 1 1 492
eject 3 3 1177,1298,1850
ekg 1 4 81,419,614,647
el 4 6 6687,6734,6795,18945,38010,44787
elabor 1 1 1305
elabor 4 2 20262,26665
elder 4 8 11846,13392,13418,18929,18974,18995,19043,19128
elect 4 2 11521,17182
electrocardiogram 1 4 418,714,821,849
electrocardiograph 4 1 26282
electromagnet 4 3 25545,25578,25829
electron 4 9 6484,7209,7288,7361,9007,28286,28350,30234,30261
element 4 7 2043,3749,3780,6313,44738,46210,49766
elementari 4 1 971
elev 1 8 38,41,88,277,280,430,455,726
elev 4 2 6183,24391
elig 3 1 1796
elig 4 7 3568,8014,26290,26416,32970,32976,47055
elimin 4 4 11192,11274,43882,47871
elizabeth 4 4 8142,16193,30771,37903
ellipt 4 1 10962
ellison 4 1 15878
elmi 4 1 37559
elsa 4 1 29671
elucid 4 3 2547,7777,18169
em 4 5 45595,45660,45700,45739,45772
ema 4 1 27442
email 4 2 31014,31048
embarrass 4 1 44668
embed 4 2 6629,41481
emerg 1 4 57,108,367,462
emerg 3 1 1528
emerg 4 37 726,1337,5450,7265,9514,12661,12704,12858,17269,20052,24705,24729,24785,26474,27636,27676,27705,27829,27855,29546,30845,30918,33337,33444,33848,33968,36112,38452,45590,46102,46137,46174,46199,46219,46235,46943,47167
emf 4 3 25580,25748,25777
emigr 4 1 36803
emili 4 1 30313
emmanuel 4 1 43973
emmanuell 4 1 12877
emot 1 1 995
emot 4 7 1058,22804,36096,44700,44719,44726,49498
empathi 4 1 43380
emphas 4 1 42330
emphasi 4 2 5629,40591
empir 4 3 14276,17143,36818
employ 4 15 2165,2873,3342,10359,19866,32759,33889,35750,36140,37713,38620,38942,39410,41348,41421
employe 4 6 31891,32459,41427,41448,41471,44405
empow 4 5 938,4973,9289,11473,42720
empower 4 8 2782,20241,31941,34372,34810,35345,35706,35864
emr 4 2 9010,9095
enabl 4 4 6844,42957,45027,49316
enclos 4 1 26659
encompass 4 2 10183,42368
encount 4 1 47151
encourag 3 1 2666
encourag 4 10 4208,5469,5541,11440,11540,29604,31371,43389,47058,47894
end 3 1 1212
end 4 9 5096,6345,6384,9191,10933,22955,32045,35974,47931
endem 4 1 21595
endlin 4 1 6686
endors 3 1 2041
endotheli 1 1 1049
endotheli 3 1 836
endpoint 3 5 1136,1243,1452,1477,1888
energi 3 1 850
energi 4 1 25196
enforc 4 1 47848
eng 4 1 43707
engag 4 17 81,195,216,1016,2994,3084,16681,18432,33481,34151,34217,34307,34347,35486,40526,42044,49372
engend 4 1 36965
engin 4 3 30576,30590,30647
english 4 7 859,910,27721,37020,37045,37295,44714
enhanc 4 15 623,6562,7293,9161,17178,21363,22235,25918,28052,29984,31018,34368,34429,34578,41444
enjoy 4 4 19580,27571,33678,36742
enorm 4 1 15315
enrol 4 12 2224,9050,18251,21722,21866,23494,27126,32757,40065,44029,44098,49676
ensu 4 1 46654
ensur 4 6 12005,19680,25648,28642,42933,43920
enter 2 1 98
enter 4 5 6930,9085,24803,30570,43211
enterpris 4 1 6963
entertain 4 2 38536,38661
entiti 1 2 199,903
entiti 4 3 9564,34513,34672
entitl 4 2 46133,46228
entri 3 1 1860
entri 4 5 2918,4638,27487,39900,40073
entrust 4 1 42447
enumer 4 1 45180
environ 4 43 5028,7129,11839,11885,11923,12864,12900,14296,15592,15649,15664,15847,16185,16286,16709,16796,17208,17224,17232,17548,17562,17608,17649,17680,19366,20455,20672,24703,24726,24760,25179,25217,25474,25589,25815,26004,27982,33375,33504,36935,45028,49290,49503
environmen 4 1 49439
environment 4 32 1445,7770,9489,11682,12656,12675,12688,12842,16770,16809,17795,20139,20221,20291,23964,24581,24798,24851,24912,24927,24963,25003,25034,25111,25539,25789,32720,33903,47156,47404,47407,47536
enzym 1 2 44,283
enzym 2 1 116
enzym 3 2 198,962
epa 4 1 24497
epicardi 1 3 141,505,931
epicardi 3 1 819
epidem 4 3 18681,25978,33552
epidemiolog 4 21 59,5183,5802,7888,9606,10350,10931,11615,15368,15623,17325,17837,18489,22647,23704,23734,24709,24737,40778,40797,45078
epidemiologist 4 1 33821
eping 4 1 34719
episod 1 1 992
